index,term,prof_rating,requirements_met0,requirements_met1,requirements_met2,requirements_met3,title,registered,description,course_id,end_time,faculty,department,credits,start_time,size
1,18WI,,Social Inquiry,Writing Rich 2,Intercultural Domestic Studies,,Black+Revolution+on+Campus,24,"This course explores the activist roots of Africana Studies. In the late 1960s and early 1970s, students organized hundreds of protests that sparked a period of unrest, retaliation, negotiation, and reform that fundamentally reshaped college campuses across the United States. Black students, along with their “Third World” and progressive white allies, demanded that academe serve their communities and provide a “more relevant education.” The course will consider the influence of various movements, including Black power, anti-war, second wave feminism, and decolonization, on the creation of interdisciplinary fields including Black Studies, Ethnic Studies, and Women and Gender Studies.",AFST+112.00,4:55pm,Charisse E Burden-Stelly,AFST,6 credits,3:10pm,30
2,18WI,3,,,,,Africana+Studies+Capstone,5,"Description"">What relationships can you draw among your varied coursework and papers in African and African American Studies Africana Studies Senior major or minor.",AFST+398.00,11:00am,Pamela  Feldman-Savelsberg,AFST,"2 credits, S/CR/NC only",9:50am,15
3,18WI,,Humanistic Inquiry,Intercultural Domestic Studies,,,American+Identities+in+the+Twentieth+Century,23,"What does it mean to be an American and how has that definition changed over time? This course examines how individual Americans have explored the relationship between their selves and their country’s recent history. We will read memoirs and autobiographies to explore American identities through a variety of lenses, including race, ethnicity, gender, sexuality, class, citizenship status, region, and ability. Key texts will include works by Alison Bechdel, Audre Lorde, Malcolm X, and Mine Okubo.",AMST+234.00,3:00pm,Christopher M Elias,AMST,6 credits,1:15pm,25
4,18WI,,Intercultural Domestic Studies,,,,Theory+and+Practice+of+American+Studies,11,"duction to some of the animating debates within American Studies from the 1930s to the present. We will study select themes, theories, and methodologies in the writings of a number of scholars and try to understand 1) the often highly contested nature of debates about how best to study American culture; and 2) how various theories and forms of analysis in American Studies have evolved and transformed themselves over the last seventy years. Not designed to be a fine-grained institutional history of American Studies, but a vigorous exploration of some of the central questions of interpretation in the field. Normally taken by majors in their junior year.",AMST+345.00,11:00am,Serena R Zabin,AMST,6 credits,9:50am,25
5,18WI,,,,,,Integrative+Exercise:+Exam+and+Essay,10,Exam: Students read selected works and view films in the field of American Studies and in a special topic area designated by the program. For integrative exercise examination students only.,AMST+400.01,n/a,Staff,AMST,"3 credits, S/CR/NC only",n/a,15
6,18WI,,,,,,Integrative+Exercise:+Exam+and+Essay,1,Exam: Students read selected works and view films in the field of American Studies and in a special topic area designated by the program. For integrative exercise examination students only.,AMST+400.02,n/a,Staff,AMST,"3 credits, S/CR/NC only",n/a,15
7,18WI,5,,,,,Elementary+Arabic,17,"This course sequence introduces non-Arabic speakers to the sounds, script, and basic grammar of Arabic--the language of 200 million speakers in the Arab world and the liturgical language of over a billion Muslims. Students will develop basic listening, speaking, reading and writing skills in Modern Standard Arabic. Classes will incorporate readings and audio-visual material from contemporary Arabic media, as well as popular music.",ARBC+102.00,11:00am,Zaki A Haidar,ARBC,6 credits,9:50am,25
8,18WI,5,Literary/Artistic Analysis,Writing Rich 2,International Studies,,Arabic+Literature+at+War,25,"1"">Arabic literature is a vibrant and humane tradition. At the same time, several Arab societies have experienced periods of exceedingly violent conflict throughout the twentieth and into the twenty-first centuries. In this course, we will investigate the ways these two currents—war and the literary—converge in several Arab societies. As members of societies at war, but also as literary artists, how do authors represent these conflicting narratives We will study the birth of the Lebanese Civil War novel as a bona fide genre in the 1970s and 80s, how literature informed anti-colonial struggles in Palestine and Algeria from the 1950s to the present, and read some works of genre-bending horror and science fiction that have appeared in the wake of Iraq’s recent destruction. Taught in English, no knowledge of Arabic is required.",ARBC+144.00,3:00pm,Zaki A Haidar,ARBC,6 credits,1:50pm,25
9,18WI,,,,,,Intermediate+Arabic,16,"his course sequence students will continue to develop their reading, writing, listening and speaking skills, while building a solid foundation of Arabic grammar (morphology and syntax). Students will develop their ability to express ideas in Modern Standard Arabic by writing essays and preparing oral presentations. Classes will incorporate readings and audio-visual material from contemporary Arabic media, as well as popular music.",ARBC+205.00,12:20pm,Yaron  Klein,ARBC,6 credits,11:10am,20
10,18WI,,Quantitative Reasoning,,,,Digital+Archaeology,11,"The practice of archaeology in the twenty-first century is an inevitably digital undertaking: from the way we record data, process finds, map distributions, analyze patterns, and even publish our interpretations, it all passes through a ‘digital filter.’ This hands-on course will explore the different approaches that digital archaeologies take--from 3D imaging of objects and structures, spatial analysis in Geographic Information Systems (GIS), remote sensing initiatives in contested or inaccessible landscapes, to modeling in Virtual Reality (VR) environments--while also reading about and discussing the implications and challenges of digital approaches and technologies for the theory and practice of archaeology.",ARCN+250.00,3:00pm,Sarah E Craft,ARCN,3 credits,1:15pm,25
11,18WI,2,Literary/Artistic Analysis,Writing Rich 2,International Studies,,Introduction+to+Art+History+II,24,"An introduction to the art and architecture of various geographical areas around the world from the fifteenth century through the present. The course will provide foundational skills (tools of analysis and interpretation) as well as general, historical understanding. It will focus on a select number of major developments in a range of media and cultures, emphasizing the way that works of art function both as aesthetic and material objects and as cultural artifacts and forces. Issues include, for example, humanist and Reformation redefinitions of art in the Italian and Northern Renaissance, realism, modernity and tradition, the tension between self-expression and the art market, and the use of art for political purposes.",ARTH+102.00,11:00am,Wendy M Sepponen,ARTH,6 credits,9:50am,25
12,18WI,4.8,Literary/Artistic Analysis,International Studies,,,Modern+Art:+1890-1945,28,"This course explores developments in the visual arts, architecture, and theory in Europe and America between 1890 and 1945. The major Modernist artists and movements that sought to revolutionize vision, culture, and experience, from Symbolism to Surrealism, will be considered. The impact of World War I, the Great Depression, and the rise of fascism will be examined as well for their devastation of the Modernist dream of social-cultural renewal. Lectures will be integrated with discussions of artists' theoretical writings and group manifestoes, such as those of the Futurists, Dadaists, Surrealists, Constructivists, and DeStijl, in addition to select secondary readings.",ARTH+172.00,11:55am,Ross K Elfline,ARTH,6 credits,10:10am,25
13,18WI,2,Literary/Artistic Analysis,,,,Experiencing+Early+Modern+Sculpture,5,"This course engages with the visual and material characteristics and practices particular to sculpture. Often relegated to the sidelines of art history classes, this course seeks to teach how to talk about sculptures and to explore the diverse contexts and processes with which sculptors worked. A medium-specific focus allows us to consider how sculptures functioned in the early modern period while allowing for effective bridges to the students' contemporary surroundings and viewing practices. While early modern European sculpture will be the course's core, direct engagement with sculptures and display practices will enliven our understanding of and appreciation for sculpture.",ARTH+234.00,1:40pm,Wendy M Sepponen,ARTH,6 credits,12:30pm,25
14,18WI,,Literary/Artistic Analysis,International Studies,,,Maya+Art+and+Architecture,9,"This course offers an investigation of ancient Maya art and architecture from the pre-Classic, Early, Middle, and Late Classic to the Post-Classic (conquest and post-conquest) and Spanish-Colonial periods. Focusing on a variety of artistic materials, monumental sites, approaches to city planning, including temple burial and entombment, and artistic conversation and cultural interactions with the Maya periphery, we will explore how ritual, death, and the afterlife are imagined, depicted, and enacted through the accouterment of Maya dynastic rulership. Discussion of the art-historical legacy of the ancient Maya as well as the artistic traditions of the present-day Maya will bookend the term.",ARTH+251.00,3:00pm,Meghan  Tierney,ARTH,6 credits,1:15pm,25
15,18WI,5,Literary/Artistic Analysis,International Studies,,,European+Architectural+Studies+Program:+Prehistory+to+Postmodernism,23,"This course surveys the history of European architecture while emphasizing firsthand encounters with actual structures. Students visit outstanding examples of major transnational styles--including Greek, Roman, Byzantine, Moorish, Romanesque, Gothic, Renaissance, Baroque, Neoclassical and Modernist buildings--along with regionally specific styles, such as Spanish Plateresque, English Tudor and Catalan Modernisme. Cultural and technological changes affecting architectural practices are emphasized along with architectural theory, ranging from Renaissance treatises to Modernist manifestoes. Students also visit buildings that resist easy classification and that raise topics such as spatial appropriation, stylistic hybridity, and political symbolism.",ARTH+263.07,n/a,Baird E Jarman,ARTH,6 credits,n/a,25
16,18WI,5,Literary/Artistic Analysis,International Studies,,,European+Architectural+Studies+Program:+Managing+Monuments:+Issues+in+Cultural+Heritage+Practice,23,"This course explores the theory and practice of cultural resource management by investigating how various architectural sites and urban historic districts operate. Students will consider cultural, financial, ethical and pedagogical aspects of contemporary tourism practices within a historical framework that roots the travel industry alongside religious pilgrimage customs and the aristocratic tradition of the Grand Tour. Interacting with professionals who help oversee architectural landmarks and archaeological sites, students will analyze and assess initiatives at various locations, ranging from educational programs and preservation plans to sustainability efforts and repatriation debates.",ARTH+264.07,n/a,Baird E Jarman,ARTH,6 credits,n/a,25
17,18WI,,,,,,Integrative+Exercise,5,,ARTH+400.00,n/a,n/a,ARTH,"1-6 credits, S/CR/NC only",n/a,10
18,18WI,4.2,,,,,Integrative+Exercise,1,n/a,ASST+400.00,n/a,Arnab  Chakladar,ASST,"1-6 credits, S/CR/NC only",n/a,25
19,18WI,,Quantitative Reasoning,Science with Lab Component,,,Introduction+to+Astronomy,44,"An introduction to current astronomy with an emphasis on how we know what we know. Topics include the solar system; the life cycles of stars; pulsars, quasars, and black holes; and the history and future fate of the universe. No mathematics background beyond high school algebra and trigonometry is assumed.",ASTR+110.00,12:20pm,Ryan C Terrien,ASTR,6 credits,11:10am,48
20,18WI,4,Quantitative Reasoning,Science with Lab Component,,,"Genes,+Evolution,+and+Development+and+Lab",19,"Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization. Topics include the nature of inheritance and life cycles, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes.",BIOL+125.52,12:20pm,"Mark  McKone, Stephan G Zweifel, Bridget  Jacques-Fricke",BIOL,6 credits,11:10am,20
21,18WI,4,Quantitative Reasoning,Science with Lab Component,,,"Genes,+Evolution,+and+Development+and+Lab",19,"Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization. Topics include the nature of inheritance and life cycles, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes.",BIOL+125.53,12:20pm,"Mark  McKone, Stephan G Zweifel",BIOL,6 credits,11:10am,20
22,18WI,4,Quantitative Reasoning,Science with Lab Component,,,"Genes,+Evolution,+and+Development+and+Lab",20,"Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization. Topics include the nature of inheritance and life cycles, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes.",BIOL+125.54,12:20pm,"Mark  McKone, Stephan G Zweifel, Sarah  Deel",BIOL,6 credits,11:10am,20
